학교명,도로명우편번호,도로명주소,도로명상세주소,좌표X,좌표Y
서울대치초등학교,6291,서울특별시 강남구 양재천로 363,(대치동/ 대치초등학교),127.06197065881,37.4912865672214
서울대청초등학교,6341,서울특별시 강남구 양재대로55길 28,/ 서울대청초등학교 (일원동),127.087767273125,37.4931480982967
서울대진초등학교,6334,서울특별시 강남구 개포로109길 74,/ 서울대진초등학교 (개포동),127.077861373551,37.4970275687873
서울대왕초등학교,6365,서울특별시 강남구 헌릉로618길 8,(세곡동/대왕초등학교),127.105303959604,37.4646391801831
서울대모초등학교,6363,서울특별시 강남구 광평로20길 27,/ 대모초등학교 (일원동/대모초등학교),127.085993825956,37.4805984530071
서울대도초등학교,6277,서울특별시 강남구 선릉로 209,(도곡동/ 서울대도초등학교),127.053206571031,37.4925857669174
서울대곡초등학교,6288,서울특별시 강남구 남부순환로 3022,/ 서울대곡초등학교 (대치동/대곡초등학교),127.065026465684,37.4947106436849
서울논현초등학교,6119,서울특별시 강남구 강남대로120길 33,(논현동/논현초등학교),127.026222910697,37.5084895751287
서울구룡초등학교,6305,서울특별시 강남구 개포로 263,(개포동/구룡초등학교),127.051771435538,37.4811973926876
서울개포초등학교,6331,서울특별시 강남구 삼성로4길 30,(개포동/ 개포초등학교),127.070310042973,37.4863349159759
서울개일초등학교,6323,서울특별시 강남구 개포로 401,/ 개일초등학교 (개포동/개일초등학교),127.057790853452,37.4862353839469
서울개원초등학교,6321,서울특별시 강남구 선릉로 29,"(개포동,개원초등학교)",127.059450501428,37.4816986136485
계성초등학교,6504,서울특별시 서초구 신반포로19길 23,/ 계성초등학교 (반포동),126.996654362592,37.5049357208076
서울교육대학교부설초등학교,6639,서울특별시 서초구 서초중앙로 96,(서초동/서울교대초등학교),127.015424537648,37.4907404857731
유석초등학교,7576,서울특별시 강서구 화곡로69길 9,(등촌동/유석초등학교),126.853779444824,37.560801806853
서울신은초등학교,8049,서울특별시 양천구 신정이펜2로 30,(신정동),126.832169591843,37.5139128078247
서울화일초등학교,7725,서울특별시 강서구 까치산로10길 70,(화곡동/서울화일초등학교),126.847470802939,37.5407120318703
서울화곡초등학교,7722,서울특별시 강서구 초록마을로 28,화곡동/화곡초등학교,126.846471725362,37.5436696173457
서울탑산초등학교,7525,서울특별시 강서구 허준로 109,(가양동/탑산초등학교),126.85259398539,37.5670047685109
서울치현초등학교,7514,서울특별시 강서구 방화대로47길 43,서울치현초등학교,126.814645646553,37.5759191517213
서울지향초등학교,8053,서울특별시 양천구 신정로11길 74,/ 서울지향초등학교 (신정동/지향초등학교),126.837023804089,37.5128376807713
서울정목초등학교,7961,서울특별시 양천구 목동중앙로3길 30-10,(목동/서울정목초등학교),126.870049083471,37.5365288457417
서울정곡초등학교,7518,서울특별시 강서구 방화대로50길 22,(방화동/정곡초등학교),126.818932773167,37.5769596950152
서울장수초등학교,8080,서울특별시 양천구 신정로13가길 30,(신정동),126.845159735242,37.5129972017178
서울은정초등학교,8100,서울특별시 양천구 목동남로 85,서울은정초등학교,126.867180395408,37.5111416389366
서울월촌초등학교,7980,서울특별시 양천구 목동중앙로 132,(목동/서울월촌초등학교),126.876258028151,37.5406954304154
서울월정초등학교,7761,서울특별시 강서구 월정로 176,(화곡동/월정초등학교),126.836293577736,37.5349941902013
서울우장초등학교,7689,서울특별시 강서구 화곡로 263,(화곡동/우장초등학교),126.845984193202,37.5496381852817
서울영도초등학교,7982,서울특별시 양천구 목동중앙로 70,/ 서울영도초등학교 (목동/서울영도초등학교),126.871942644571,37.5359499494616
서울염창초등학교,7554,서울특별시 강서구 양천로 646-28,(염창동/ 염창초등학교),126.867600184199,37.5532261352883
